X,Y,Z
1.399999976,0,2.400000095
1.399999976,-0.7839999795,2.400000095
0.7839999795,-1.399999976,2.400000095
0,-1.399999976,2.400000095
1.337499976,0,2.53125
1.337499976,-0.7490000129,2.53125
0.7490000129,-1.337499976,2.53125
0,-1.337499976,2.53125
1.4375,0,2.53125
1.4375,-0.8050000072,2.53125
0.8050000072,-1.4375,2.53125
0,-1.4375,2.53125
1.5,0,2.400000095
1.5,-0.8399999738,2.400000095
0.8399999738,-1.5,2.400000095
0,-1.5,2.400000095
-0.7839999795,-1.399999976,2.400000095
-1.399999976,-0.7839999795,2.400000095
-1.399999976,0,2.400000095
-0.7490000129,-1.337499976,2.53125
-1.337499976,-0.7490000129,2.53125
-1.337499976,0,2.53125
-0.8050000072,-1.4375,2.53125
-1.4375,-0.8050000072,2.53125
-1.4375,0,2.53125
-0.8399999738,-1.5,2.400000095
-1.5,-0.8399999738,2.400000095
-1.5,0,2.400000095
-1.399999976,0.7839999795,2.400000095
-0.7839999795,1.399999976,2.400000095
0,1.399999976,2.400000095
-1.337499976,0.7490000129,2.53125
-0.7490000129,1.337499976,2.53125
0,1.337499976,2.53125
-1.4375,0.8050000072,2.53125
-0.8050000072,1.4375,2.53125
0,1.4375,2.53125
-1.5,0.8399999738,2.400000095
-0.8399999738,1.5,2.400000095
0,1.5,2.400000095
0.7839999795,1.399999976,2.400000095
1.399999976,0.7839999795,2.400000095
0.7490000129,1.337499976,2.53125
1.337499976,0.7490000129,2.53125
0.8050000072,1.4375,2.53125
1.4375,0.8050000072,2.53125
0.8399999738,1.5,2.400000095
1.5,0.8399999738,2.400000095
1.75,0,1.875
1.75,-0.9800000191,1.875
0.9800000191,-1.75,1.875
0,-1.75,1.875
2,0,1.350000024
2,-1.120000005,1.350000024
1.120000005,-2,1.350000024
0,-2,1.350000024
2,0,0.8999999762
2,-1.120000005,0.8999999762
1.120000005,-2,0.8999999762
0,-2,0.8999999762
-0.9800000191,-1.75,1.875
-1.75,-0.9800000191,1.875
-1.75,0,1.875
-1.120000005,-2,1.350000024
-2,-1.120000005,1.350000024
-2,0,1.350000024
-1.120000005,-2,0.8999999762
-2,-1.120000005,0.8999999762
-2,0,0.8999999762
-1.75,0.9800000191,1.875
-0.9800000191,1.75,1.875
0,1.75,1.875
-2,1.120000005,1.350000024
-1.120000005,2,1.350000024
0,2,1.350000024
-2,1.120000005,0.8999999762
-1.120000005,2,0.8999999762
0,2,0.8999999762
0.9800000191,1.75,1.875
1.75,0.9800000191,1.875
1.120000005,2,1.350000024
2,1.120000005,1.350000024
1.120000005,2,0.8999999762
2,1.120000005,0.8999999762
2,0,0.4499999881
2,-1.120000005,0.4499999881
1.120000005,-2,0.4499999881
0,-2,0.4499999881
1.5,0,0.224999994
1.5,-0.8399999738,0.224999994
0.8399999738,-1.5,0.224999994
0,-1.5,0.224999994
1.5,0,0.150000006
1.5,-0.8399999738,0.150000006
0.8399999738,-1.5,0.150000006
0,-1.5,0.150000006
-1.120000005,-2,0.4499999881
-2,-1.120000005,0.4499999881
-2,0,0.4499999881
-0.8399999738,-1.5,0.224999994
-1.5,-0.8399999738,0.224999994
-1.5,0,0.224999994
-0.8399999738,-1.5,0.150000006
-1.5,-0.8399999738,0.150000006
-1.5,0,0.150000006
-2,1.120000005,0.4499999881
-1.120000005,2,0.4499999881
0,2,0.4499999881
-1.5,0.8399999738,0.224999994
-0.8399999738,1.5,0.224999994
0,1.5,0.224999994
-1.5,0.8399999738,0.150000006
-0.8399999738,1.5,0.150000006
0,1.5,0.150000006
1.120000005,2,0.4499999881
2,1.120000005,0.4499999881
0.8399999738,1.5,0.224999994
1.5,0.8399999738,0.224999994
0.8399999738,1.5,0.150000006
1.5,0.8399999738,0.150000006
-1.600000024,0,2.025000095
-1.600000024,-0.3000000119,2.025000095
-1.5,-0.3000000119,2.25
-1.5,0,2.25
-2.299999952,0,2.025000095
-2.299999952,-0.3000000119,2.025000095
-2.5,-0.3000000119,2.25
-2.5,0,2.25
-2.700000048,0,2.025000095
-2.700000048,-0.3000000119,2.025000095
-3,-0.3000000119,2.25
-3,0,2.25
-2.700000048,0,1.799999952
-2.700000048,-0.3000000119,1.799999952
-3,-0.3000000119,1.799999952
-3,0,1.799999952
-1.5,0.3000000119,2.25
-1.600000024,0.3000000119,2.025000095
-2.5,0.3000000119,2.25
-2.299999952,0.3000000119,2.025000095
-3,0.3000000119,2.25
-2.700000048,0.3000000119,2.025000095
-3,0.3000000119,1.799999952
-2.700000048,0.3000000119,1.799999952
-2.700000048,0,1.575000048
-2.700000048,-0.3000000119,1.575000048
-3,-0.3000000119,1.350000024
-3,0,1.350000024
-2.5,0,1.125
-2.5,-0.3000000119,1.125
-2.650000095,-0.3000000119,0.9375
-2.650000095,0,0.9375
-2,-0.3000000119,0.8999999762
-1.899999976,-0.3000000119,0.6000000238
-1.899999976,0,0.6000000238
-3,0.3000000119,1.350000024
-2.700000048,0.3000000119,1.575000048
-2.650000095,0.3000000119,0.9375
-2.5,0.3000000119,1.125
-1.899999976,0.3000000119,0.6000000238
-2,0.3000000119,0.8999999762
1.700000048,0,1.424999952
1.700000048,-0.6600000262,1.424999952
1.700000048,-0.6600000262,0.6000000238
1.700000048,0,0.6000000238
2.599999905,0,1.424999952
2.599999905,-0.6600000262,1.424999952
3.099999905,-0.6600000262,0.8249999881
3.099999905,0,0.8249999881
2.299999952,0,2.099999905
2.299999952,-0.25,2.099999905
2.400000095,-0.25,2.025000095
2.400000095,0,2.025000095
2.700000048,0,2.400000095
2.700000048,-0.25,2.400000095
3.299999952,-0.25,2.400000095
3.299999952,0,2.400000095
1.700000048,0.6600000262,0.6000000238
1.700000048,0.6600000262,1.424999952
3.099999905,0.6600000262,0.8249999881
2.599999905,0.6600000262,1.424999952
2.400000095,0.25,2.025000095
2.299999952,0.25,2.099999905
3.299999952,0.25,2.400000095
2.700000048,0.25,2.400000095
2.799999952,0,2.474999905
2.799999952,-0.25,2.474999905
3.525000095,-0.25,2.493750095
