index,date,1961 to 1990 long-term average,1991 to 2020 long-term average,Annual mean temperature,Annual mean temperature (trend)
1,1884,8.31,9.14,8.48,7.77
2,1885,8.31,9.14,7.36,7.77
3,1886,8.31,9.14,7.45,7.78
4,1887,8.31,9.14,7.51,7.79
5,1888,8.31,9.14,7.28,7.81
6,1889,8.31,9.14,8.02,7.84
7,1890,8.31,9.14,7.96,7.87
8,1891,8.31,9.14,7.6,7.89
9,1892,8.31,9.14,7.02,7.92
10,1893,8.31,9.14,8.78,7.95
11,1894,8.31,9.14,8.19,7.98
12,1895,8.31,9.14,7.55,8.01
13,1896,8.31,9.14,8.26,8.03
14,1897,8.31,9.14,8.23,8.06
15,1898,8.31,9.14,8.88,8.08
16,1899,8.31,9.14,8.56,8.1
17,1900,8.31,9.14,8.29,8.11
18,1901,8.31,9.14,8.08,8.13
19,1902,8.31,9.14,7.73,8.13
20,1903,8.31,9.14,8.02,8.14
21,1904,8.31,9.14,7.99,8.15
22,1905,8.31,9.14,8.19,8.15
23,1906,8.31,9.14,8.29,8.15
24,1907,8.31,9.14,7.83,8.16
25,1908,8.31,9.14,8.31,8.15
26,1909,8.31,9.14,7.52,8.15
27,1910,8.31,9.14,8.09,8.16
28,1911,8.31,9.14,8.81,8.16
29,1912,8.31,9.14,8.17,8.16
30,1913,8.31,9.14,8.59,8.16
31,1914,8.31,9.14,8.7,8.16
32,1915,8.31,9.14,7.81,8.16
33,1916,8.31,9.14,8.1,8.16
34,1917,8.31,9.14,7.52,8.16
35,1918,8.31,9.14,8.33,8.17
36,1919,8.31,9.14,7.42,8.17
37,1920,8.31,9.14,8.46,8.18
38,1921,8.31,9.14,9.24,8.2
39,1922,8.31,9.14,7.63,8.2
40,1923,8.31,9.14,7.97,8.21
41,1924,8.31,9.14,8.19,8.23
42,1925,8.31,9.14,8.12,8.24
43,1926,8.31,9.14,8.59,8.25
44,1927,8.31,9.14,8.07,8.26
45,1928,8.31,9.14,8.35,8.27
46,1929,8.31,9.14,7.98,8.29
47,1930,8.31,9.14,8.29,8.31
48,1931,8.31,9.14,7.98,8.33
49,1932,8.31,9.14,8.35,8.35
50,1933,8.31,9.14,8.82,8.37
51,1934,8.31,9.14,8.87,8.39
52,1935,8.31,9.14,8.52,8.4
53,1936,8.31,9.14,8.26,8.42
54,1937,8.31,9.14,8.33,8.43
55,1938,8.31,9.14,8.92,8.44
56,1939,8.31,9.14,8.57,8.45
57,1940,8.31,9.14,8.01,8.45
58,1941,8.31,9.14,7.96,8.46
59,1942,8.31,9.14,8.03,8.47
60,1943,8.31,9.14,8.88,8.48
61,1944,8.31,9.14,8.44,8.48
62,1945,8.31,9.14,9.13,8.49
63,1946,8.31,9.14,8.35,8.49
64,1947,8.31,9.14,8.37,8.49
65,1948,8.31,9.14,8.81,8.49
66,1949,8.31,9.14,9.34,8.48
67,1950,8.31,9.14,8.3,8.47
68,1951,8.31,9.14,8.11,8.45
69,1952,8.31,9.14,7.99,8.43
70,1953,8.31,9.14,8.91,8.42
71,1954,8.31,9.14,8.13,8.4
72,1955,8.31,9.14,8.23,8.39
73,1956,8.31,9.14,7.9,8.38
74,1957,8.31,9.14,8.84,8.36
75,1958,8.31,9.14,8.25,8.35
76,1959,8.31,9.14,9.24,8.33
77,1960,8.31,9.14,8.54,8.31
78,1961,8.31,9.14,8.67,8.29
79,1962,8.31,9.14,7.56,8.28
80,1963,8.31,9.14,7.4,8.26
81,1964,8.31,9.14,8.31,8.26
82,1965,8.31,9.14,7.75,8.26
83,1966,8.31,9.14,8.19,8.26
84,1967,8.31,9.14,8.47,8.27
85,1968,8.31,9.14,8.16,8.27
86,1969,8.31,9.14,8.12,8.28
87,1970,8.31,9.14,8.31,8.29
88,1971,8.31,9.14,8.73,8.3
89,1972,8.31,9.14,8.1,8.3
90,1973,8.31,9.14,8.43,8.3
91,1974,8.31,9.14,8.38,8.3
92,1975,8.31,9.14,8.77,8.31
93,1976,8.31,9.14,8.74,8.32
94,1977,8.31,9.14,8.27,8.33
95,1978,8.31,9.14,8.23,8.34
96,1979,8.31,9.14,7.59,8.35
97,1980,8.31,9.14,8.26,8.36
